MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
20,3,4.248495242049359,9.323669057283185,1,2,0,1,1,0,0,6,2,1,3,3,5,5,43,43,2,0,6,5,1,0.0,1,3,2,2,3,1,1,906,5,0,134,1040,2,4,1,3,6.946975992135418,0,0,6.946975992135418,1,0,1,0,3,1,1,5,4,0,1,2,43.0,1,1,384,2,3,2,0,0,0,0,0,0,0,4,2,0,2,2,3,11.771436160121729,1,1,1
60,3,4.442651256490317,9.386308454797962,1,2,1,1,1,0,0,21,2,1,3,5,9,5,1,0,2,0,3,4,4,286.0,3,3,4,4,3,1,6,998,5,0,177,1175,2,4,1,3,7.074963197966044,1142,0,7.751045117971802,1,0,3,0,4,1,3,11,4,2,4,5,1.0,3,3,736,2,3,2,147,21,0,0,0,0,0,4,2,0,7,3,4,12.751299696013497,1,1,1
20,3,4.23410650459726,9.470240063415512,1,2,3,1,1,0,0,6,2,1,3,3,5,6,46,46,2,0,6,7,1,0.0,1,3,2,2,3,1,4,737,5,0,175,912,2,2,1,3,6.815639990074331,0,0,6.815639990074331,1,0,1,0,2,1,1,4,4,0,1,2,46.0,1,1,352,2,3,2,140,0,0,0,176,0,0,4,2,0,9,2,3,11.877568578558138,1,1,1
20,3,4.51085950651685,9.273502946933823,1,2,1,1,1,0,0,14,2,1,3,3,7,5,1,0,0,0,10,10,4,306.0,2,3,4,3,3,3,5,0,5,0,1494,1494,2,4,1,3,7.309212365692763,0,0,7.309212365692763,0,0,2,0,3,1,2,7,4,1,4,4,1.0,2,3,840,2,3,2,160,33,0,0,0,0,0,4,2,0,8,3,4,12.540757571577291,1,1,1
20,3,4.23410650459726,9.298351249298896,1,2,1,1,1,1,0,8,2,1,3,3,6,5,48,48,2,0,4,3,2,212.0,1,3,2,2,3,1,2,733,5,0,520,1253,2,2,1,3,7.133295954896068,0,0,7.133295954896068,1,0,1,1,2,1,1,5,4,1,2,4,48.0,2,1,352,2,3,2,0,213,176,0,0,0,0,0,2,0,5,2,3,11.964001084330445,1,1,1
45,1,3.9318256327243257,8.719317375506371,1,2,0,1,1,1,0,3,2,1,3,2,7,8,78,6,0,0,2,1,1,0.0,1,3,1,2,3,1,5,0,5,0,832,832,2,4,1,2,6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,1,5,4,0,1,2,16.0,1,2,576,2,3,2,48,112,0,0,0,0,0,3,2,0,7,2,3,11.790557201568507,1,1,1
20,3,4.23410650459726,9.327323087461798,1,2,1,1,1,4,0,8,2,1,3,3,6,7,40,40,0,0,2,1,2,180.0,1,3,2,2,3,1,4,578,5,0,426,1004,2,4,1,3,6.911747300251674,0,0,6.911747300251674,1,0,1,0,2,1,1,5,4,1,3,4,40.0,3,2,480,2,3,2,0,0,0,0,0,0,0,4,1,700,3,2,3,11.911701584927597,1,1,1
90,3,4.276666119016055,9.286467732363734,1,2,0,1,1,0,0,6,2,1,2,3,4,5,39,39,0,0,4,3,1,0.0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,1,3,7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,1,6,4,0,1,1,39.0,1,2,516,2,3,2,0,0,0,0,0,0,0,4,1,500,10,2,3,11.407564949312402,1,1,1
20,3,4.189654742026425,9.524786081697178,1,2,0,1,1,0,0,10,3,1,3,3,5,5,4,4,0,0,10,10,1,0.0,1,3,4,2,3,1,6,646,5,0,468,1114,2,4,1,3,7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,2,6,4,0,1,2,4.0,1,2,576,2,3,2,0,102,0,0,0,0,0,4,2,0,6,2,3,11.976659481202368,1,1,1
20,3,4.248495242049359,8.930626469173578,1,2,0,1,1,0,0,8,2,1,3,3,5,6,51,44,2,0,8,7,1,0.0,1,3,2,2,3,1,3,504,5,0,525,1029,2,2,1,3,7.199678345691172,0,0,7.199678345691172,0,0,1,0,3,1,1,6,3,0,1,4,51.0,1,1,294,2,3,2,0,0,0,0,0,0,0,2,2,0,5,0,0,11.842229212112828,1,1,1
60,3,4.61512051684126,9.5620530240851,1,2,1,1,1,1,0,21,2,1,3,5,8,5,1,0,0,0,10,10,2,380.0,2,3,4,4,3,3,5,0,5,0,1158,1158,2,4,1,3,7.05444965813294,1218,0,7.773173680482536,0,0,3,1,4,1,2,9,4,1,4,5,1.0,2,3,853,2,3,2,240,154,0,0,0,0,0,4,2,0,11,3,4,12.692503112461443,1,1,1
45,1,4.04305126783455,8.915835074176277,1,0,0,0,1,0,0,0,2,1,3,2,7,7,77,57,0,0,2,1,1,0.0,1,3,4,2,3,1,5,0,5,0,637,637,2,4,1,1,7.010311867307229,0,0,7.010311867307229,0,0,1,0,3,1,2,6,4,1,4,4,77.0,1,1,280,2,3,0,0,0,205,0,0,0,0,3,2,0,6,2,3,11.845102777308561,1,1,1
20,3,4.31748811353631,9.184201714366488,1,2,0,1,1,0,0,14,2,1,3,3,8,5,6,6,2,0,10,10,2,281.0,2,3,4,3,3,1,5,0,5,0,1777,1777,2,4,1,3,7.492760300922379,0,0,7.492760300922379,0,0,2,0,3,1,2,7,4,1,4,4,6.0,2,2,534,2,3,2,171,159,0,0,0,0,0,4,2,0,9,2,3,12.345834587905333,1,1,1
120,1,3.784189633918261,8.348537825386098,1,2,0,1,1,0,0,1,2,1,4,3,5,7,31,31,0,0,9,9,1,0.0,1,3,4,3,3,1,6,840,5,0,200,1040,2,2,1,3,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,1,6,4,1,3,4,31.0,1,2,572,2,3,2,100,110,0,0,0,0,0,4,2,0,6,2,3,11.77452020265869,1,1,1
20,3,4.23410650459726,9.017483513266844,1,2,1,1,1,0,0,6,2,1,3,3,5,8,42,9,0,0,7,7,1,0.0,1,2,2,2,3,2,1,188,6,668,204,1060,2,4,1,3,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,2,6,4,1,3,4,42.0,1,1,270,2,3,2,406,90,0,0,0,0,0,2,2,0,5,2,3,11.944707881395766,1,1,1
20,3,4.700480365792417,9.563107691083898,1,2,0,1,1,1,0,21,2,1,3,3,8,5,2,2,0,0,10,10,4,640.0,2,3,4,3,3,1,5,0,5,0,1566,1566,2,4,1,3,7.3777589082278725,0,0,7.3777589082278725,0,0,2,0,3,1,2,7,4,1,4,4,2.0,2,3,890,2,3,2,0,56,0,0,0,0,0,4,2,0,7,2,3,12.454103912352162,1,1,1
20,3,4.0943445622221,8.881836305004146,1,2,0,1,1,1,0,8,2,1,3,3,5,7,59,10,0,0,2,1,1,0.0,1,3,2,2,3,2,2,234,2,486,180,900,2,2,1,3,6.802394763324311,0,0,6.802394763324311,0,1,1,0,3,1,2,5,4,0,1,2,5.0,1,2,576,2,3,2,222,32,0,0,0,0,0,4,2,0,5,2,3,11.811547477460344,1,1,1
20,3,4.584967478670572,9.348187438668308,1,2,0,1,1,0,0,21,2,1,3,3,8,5,3,2,0,0,10,10,4,200.0,2,3,4,4,3,1,6,1218,5,0,486,1704,2,4,1,3,7.440733707389261,0,0,7.440733707389261,1,0,2,0,3,1,2,7,4,1,4,4,2.0,2,3,772,2,3,2,0,50,0,0,0,0,0,4,2,0,5,2,3,12.631340380934517,1,1,1
20,3,3.8501476017100584,9.700207901150696,1,2,1,1,1,4,0,8,2,1,3,3,5,6,49,9,0,0,4,3,1,0.0,1,3,2,2,3,4,2,1277,5,0,207,1484,2,2,1,3,7.3777589082278725,0,0,7.3777589082278725,1,0,1,0,2,1,1,6,4,2,4,4,49.0,2,1,319,2,3,2,288,258,0,0,0,0,0,4,2,0,12,2,3,12.24288661865289,1,1,1
30,1,4.0943445622221,8.752107198329362,1,2,1,1,1,0,0,3,1,0,3,3,4,6,81,58,0,0,4,3,1,0.0,1,3,1,2,3,1,5,0,5,0,520,520,2,1,0,3,6.253828811575473,0,0,6.253828811575473,0,0,1,0,1,1,0,4,4,0,1,2,88.0,1,1,240,1,3,2,49,0,87,0,0,0,0,4,2,0,5,2,3,11.134589024250317,1,1,1
70,0,3.912023005428146,9.047821442478408,1,1,0,1,1,0,0,0,1,1,3,5,4,4,88,58,1,0,8,8,1,0.0,1,0,1,2,3,1,5,0,5,0,649,649,2,2,0,3,6.47543271670409,668,0,7.183111701743281,0,0,1,0,3,1,1,6,4,0,1,2,88.0,1,1,250,2,1,0,0,54,172,0,0,0,0,2,2,0,7,2,3,10.596634733096073,1,1,1
20,3,4.23410650459726,9.052984561199976,1,2,1,1,1,4,0,6,2,1,3,3,5,6,42,2,0,0,6,5,1,0.0,1,3,2,2,3,1,5,0,5,0,1228,1228,2,3,1,3,7.113142108707088,0,0,7.113142108707088,0,0,1,1,3,1,2,6,4,0,1,4,42.0,1,1,271,2,3,2,0,65,0,0,0,0,0,2,2,0,6,2,3,11.914047823644255,1,1,1
20,3,4.442651256490317,9.310095205113175,1,2,0,1,1,1,0,14,2,1,3,3,8,5,1,1,0,0,10,10,1,0.0,2,3,4,4,3,3,5,0,5,0,1234,1234,2,4,1,3,7.1180162044653335,0,0,7.1180162044653335,0,0,2,0,3,1,2,7,4,0,1,4,1.0,2,2,484,2,3,2,0,30,0,0,0,0,0,4,2,0,1,2,3,12.100156419938624,1,1,1
20,3,4.248495242049359,9.26407069439715,1,2,1,1,1,0,0,8,2,1,3,3,5,5,51,51,2,0,8,8,1,0.0,1,3,2,2,3,1,1,1018,5,0,380,1398,2,3,1,3,7.438383530044307,0,0,7.438383530044307,0,1,1,1,4,1,2,6,4,1,4,4,51.0,2,2,447,2,3,2,0,38,0,0,0,0,0,4,2,0,4,2,3,12.016726473799254,1,1,1
120,3,4.0943445622221,8.89740886527095,1,2,0,1,1,0,0,21,2,1,4,3,9,5,2,2,2,0,4,3,2,246.0,3,3,4,4,3,1,6,1153,5,0,408,1561,2,4,1,3,7.353081920515432,0,0,7.353081920515432,1,0,2,0,2,1,3,6,4,1,4,4,2.0,3,2,556,2,3,2,203,47,0,0,0,0,0,4,2,0,8,2,3,12.533576212168626,1,1,1
60,3,4.68213122712422,9.504352368122833,1,2,0,1,1,0,0,21,2,1,3,5,8,5,2,1,0,0,10,10,4,132.0,2,3,4,4,3,3,5,0,5,0,1117,1117,2,4,1,3,7.0317412587631285,1320,0,7.804659297056102,0,0,3,1,4,1,2,9,4,1,4,5,2.0,3,3,691,2,3,2,113,32,0,0,0,0,0,4,2,0,9,2,3,12.641096555879882,1,1,1
20,3,4.718498871295094,9.2927495082169,1,2,0,1,1,1,0,14,2,1,3,3,5,5,15,14,0,0,10,10,1,0.0,1,3,4,3,3,1,5,0,5,0,1097,1097,2,4,1,3,7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,1,6,4,0,1,4,14.0,1,2,672,2,3,2,392,64,0,0,0,0,0,4,2,0,6,2,3,11.884489021402711,1,1,1
20,3,4.30406509320417,9.05157907959124,1,2,0,1,1,0,0,8,2,1,3,3,5,6,55,19,2,0,2,1,2,650.0,1,3,2,2,3,1,1,1213,5,0,84,1297,2,3,1,3,7.167809184316444,0,0,7.167809184316444,0,1,1,0,3,1,1,5,4,1,3,4,55.0,3,2,498,2,3,2,0,0,0,0,0,0,0,4,2,0,10,2,3,11.938193200374572,1,1,1
20,3,4.219507705176107,8.977398978181862,1,2,0,1,1,0,0,8,2,1,3,3,5,7,57,3,0,0,10,10,1,0.0,1,2,2,2,3,1,6,731,5,0,326,1057,2,2,1,3,6.963189985870238,0,0,6.963189985870238,1,0,1,0,3,1,2,5,4,0,1,2,57.0,1,1,246,2,3,2,0,52,0,0,0,0,0,4,2,0,1,2,0,11.59910316121128,1,1,1
90,3,4.174387269895637,8.706159290928861,1,2,0,1,1,0,0,5,2,1,2,3,4,5,53,53,0,0,0,7,1,0.0,1,3,4,0,1,0,0,0,0,0,0,0,2,2,0,0,7.049254841255837,0,0,7.049254841255837,0,0,2,0,2,2,0,6,4,0,1,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,2,1,11.314474526246391,1,1,1
20,3,4.430816798843313,9.066239028001926,1,2,0,1,1,0,0,8,2,1,3,3,6,5,41,41,0,0,2,1,2,101.0,1,3,2,2,3,1,1,643,5,0,445,1088,2,4,1,3,7.188412736496954,0,0,7.188412736496954,0,0,2,0,3,1,1,6,4,1,3,4,41.0,2,2,440,2,3,2,0,138,0,0,0,0,0,0,2,0,12,2,0,11.982929094215963,1,1,1
20,3,4.74493212836325,9.735364715141987,1,2,0,1,1,0,0,19,2,1,3,3,5,6,48,48,0,0,10,10,1,0.0,1,2,2,2,3,4,2,967,5,0,383,1350,2,3,1,3,7.191429330036379,0,0,7.191429330036379,0,1,1,1,2,1,1,5,4,2,4,4,48.0,2,1,308,2,3,1,0,104,0,0,0,0,0,4,2,0,7,2,3,12.043553716032399,1,1,1
85,3,4.23410650459726,9.124782483614537,1,2,1,1,1,4,0,10,2,1,3,0,5,7,24,24,0,0,6,5,1,0.0,1,3,2,3,3,3,4,747,3,93,0,840,2,3,1,3,6.784457062637643,0,0,6.784457062637643,1,0,1,0,2,1,2,5,4,0,1,4,24.0,2,2,504,2,2,2,240,0,0,0,0,0,0,2,2,0,12,2,3,11.877568578558138,1,1,1
20,3,4.23410650459726,9.126958763037132,1,2,1,1,1,4,0,14,2,1,3,3,5,6,33,28,2,0,10,10,1,0.0,1,3,2,3,3,3,3,280,1,491,167,938,2,2,1,3,6.843749949006225,0,0,6.843749949006225,1,0,1,0,3,1,1,5,4,0,1,2,31.0,1,1,308,2,3,2,145,0,0,0,0,0,0,2,2,0,7,2,3,11.777210959615614,1,1,1
20,3,4.248495242049359,8.980298078970817,1,2,0,1,1,0,0,8,2,1,3,3,5,6,47,47,0,0,8,1,1,0.0,1,3,2,2,3,1,4,179,1,506,465,1150,2,4,1,2,7.047517221357296,0,0,7.047517221357296,1,0,1,0,3,1,1,6,4,0,1,4,47.0,2,1,300,2,3,2,0,0,0,0,0,0,0,4,2,0,5,2,3,11.856515169360305,1,1,1
120,3,4.110873864173311,8.943506132037239,1,2,0,1,1,0,0,21,2,1,4,3,9,5,5,5,2,0,4,3,2,412.0,3,3,4,4,3,1,6,456,5,0,1296,1752,2,4,1,3,7.468513271496337,0,0,7.468513271496337,1,0,2,0,2,1,3,6,4,1,4,4,5.0,2,2,576,2,3,2,196,82,0,0,0,0,0,4,2,0,2,2,3,12.675763725937609,1,1,1
50,3,3.871201010907891,9.458917724547202,1,2,1,1,1,4,0,9,2,1,3,1,7,5,6,6,0,0,10,10,1,0.0,2,3,4,4,3,1,6,1351,5,0,83,1434,2,4,1,3,7.325148957955575,631,0,7.67275789664251,1,0,1,1,1,1,2,6,4,1,5,4,6.0,2,2,670,2,3,2,168,43,0,0,198,0,0,4,2,0,8,2,0,12.387085012375499,1,1,1
20,4,4.430816798843313,9.314339961994667,1,2,0,1,1,0,0,18,2,1,3,3,8,5,1,1,0,0,10,10,1,0.0,2,3,4,3,3,3,6,24,5,0,1632,1656,2,4,1,3,7.412160334945205,0,0,7.412160334945205,0,0,2,0,3,1,2,7,4,0,1,4,1.0,2,3,826,2,3,2,0,146,0,0,0,0,0,4,2,0,7,2,3,12.428015476267865,1,1,1
190,1,3.4965075614664802,8.40200678160712,1,2,0,1,1,0,0,4,2,1,0,5,4,5,89,1,0,0,4,3,1,0.0,1,3,1,2,3,1,5,0,5,0,736,736,2,3,1,3,6.601230118728877,716,0,7.280697195384741,0,0,2,0,2,3,1,8,4,0,1,0,29.0,0,0,0,0,0,0,0,0,102,0,0,0,0,4,2,0,6,3,4,11.635143097694478,1,1,1
20,3,4.189654742026425,8.954415331137593,1,2,0,1,1,0,0,6,2,1,3,3,5,7,41,41,0,0,6,5,1,0.0,1,3,2,2,3,1,2,763,5,0,192,955,2,4,1,3,6.86171134048073,0,0,6.86171134048073,1,0,1,0,3,1,1,6,4,0,1,4,41.0,1,1,386,2,3,2,0,0,0,0,0,0,0,2,2,0,1,2,3,11.751942365440728,1,1,1
60,3,4.23410650459726,9.537411412656335,1,2,3,1,1,1,0,13,2,1,3,5,6,6,10,10,0,0,10,10,1,0.0,1,3,4,3,3,3,6,182,5,0,612,794,2,3,1,3,6.677083461247136,676,0,7.293017679772782,0,1,2,0,3,1,1,6,4,0,1,4,10.0,3,2,388,2,3,2,0,75,0,0,0,0,0,4,2,0,7,2,3,12.083905011555967,1,1,1
50,1,3.9512437185814275,8.738735461363474,1,2,0,1,1,0,0,3,2,1,3,1,6,6,72,56,0,0,2,1,1,0.0,1,3,4,2,3,1,5,0,5,0,816,816,2,2,1,3,6.704414354964107,0,360,7.069874128458572,0,0,1,0,3,1,1,6,4,1,4,2,21.0,1,2,528,2,3,2,112,0,0,0,0,0,0,2,1,400,9,2,3,11.648330101976432,1,1,1
90,1,4.700480365792417,9.044521887281242,0,2,3,0,1,1,1,0,3,1,2,3,5,5,47,47,0,0,2,1,1,0.0,0,3,2,3,3,4,3,104,4,712,0,816,2,2,0,3,6.704414354964107,0,0,6.704414354964107,1,0,1,0,2,1,1,5,4,0,1,1,47.0,1,2,516,2,3,2,106,0,0,0,0,0,0,4,2,0,5,2,3,11.608235644774552,1,1,1
20,3,4.219507705176107,10.825183649068833,1,2,1,2,1,0,0,11,2,1,3,3,9,5,25,19,0,1,3,4,1,0.0,2,3,2,4,3,4,6,1810,5,0,32,1842,2,3,1,3,7.518607216815252,0,0,7.518607216815252,2,0,0,1,0,1,2,5,4,1,4,4,25.0,3,3,894,2,3,2,857,72,0,0,0,0,0,4,2,0,11,2,3,12.86099861326992,1,1,1
80,3,4.0943445622221,8.872627365918836,1,2,0,0,1,0,1,8,2,1,3,4,5,5,52,52,0,0,4,3,1,0.0,1,3,2,2,3,1,4,384,5,0,0,384,2,2,1,3,7.215239978730097,0,0,7.215239978730097,0,0,1,0,3,1,1,6,3,1,3,2,45.0,1,2,572,2,3,2,0,50,0,0,0,0,0,2,2,0,2,2,3,11.77528972943772,1,1,1
20,3,4.605170185988092,9.227689010310796,1,2,1,1,1,0,0,8,2,1,3,3,6,5,44,44,0,0,6,7,2,272.0,1,3,2,2,3,1,2,490,5,0,935,1425,2,3,1,3,7.261927092702751,0,0,7.261927092702751,0,0,2,0,3,1,1,7,4,1,4,4,44.0,2,2,576,2,3,2,0,0,0,407,0,0,0,4,2,0,7,2,3,12.103486056755072,1,1,1
160,4,3.1780538303479458,7.8804263442924,1,1,0,1,1,0,0,18,2,1,1,5,8,5,10,9,0,0,4,3,2,456.0,2,3,4,3,3,1,6,649,5,0,321,970,2,4,1,3,6.890609120147166,756,0,7.461065514354283,1,0,2,1,3,1,2,7,4,0,1,4,10.0,3,2,480,2,3,2,115,0,0,0,0,0,0,4,2,0,8,2,0,12.058152515453552,1,1,1
60,3,4.48863636973214,9.36263218231844,1,2,1,1,1,1,0,14,2,1,3,5,7,5,2,2,0,0,10,10,1,0.0,2,3,4,3,3,1,5,0,5,0,860,860,2,4,1,3,6.756932389247553,860,0,7.450079569807499,0,0,2,1,3,1,2,7,4,0,1,4,2.0,2,2,565,2,3,2,0,70,0,0,0,0,0,4,2,0,8,2,3,12.188417710291453,1,1,1
60,3,4.189654742026425,9.523836379320944,1,2,3,3,1,4,0,20,2,1,3,5,10,5,0,0,2,0,10,10,2,1031.0,3,3,4,4,3,4,5,0,5,0,1410,1410,2,4,1,3,7.262628600974241,1519,0,7.987864096085687,0,0,3,1,3,1,2,10,4,1,4,5,0.0,3,3,641,2,3,2,192,0,37,0,0,0,0,4,2,0,10,3,4,12.991753427493052,1,1,1
20,3,4.0943445622221,8.881836305004146,1,2,0,0,1,0,0,14,2,1,3,3,5,7,36,36,0,0,6,5,1,0.0,1,3,2,2,3,3,4,632,5,0,148,780,2,4,1,3,6.659293919683638,0,0,6.659293919683638,0,0,1,0,2,1,1,4,4,0,1,2,35.0,1,1,352,2,3,2,196,0,0,0,0,0,0,2,2,0,1,2,3,11.73526869611367,1,1,1
20,3,4.143134726391533,9.478227817099784,1,2,0,1,1,0,0,10,3,1,3,3,6,5,2,2,0,0,10,10,1,0.0,1,3,4,3,3,1,4,941,5,0,217,1158,2,4,1,3,7.05444965813294,0,0,7.05444965813294,1,0,1,1,3,1,2,5,4,0,1,2,0.0,1,2,576,2,3,2,0,50,0,0,0,0,0,4,2,0,5,3,4,11.970350312009105,1,1,1
75,1,4.0943445622221,8.881836305004146,1,2,0,1,1,0,0,0,2,1,3,2,5,7,87,11,0,0,4,3,1,0.0,1,3,1,2,2,1,5,0,5,0,530,530,2,2,0,3,6.364750756851911,530,0,7.01301578963963,0,0,1,0,3,1,0,6,4,0,1,2,72.0,1,1,288,2,3,0,0,0,144,0,0,0,0,4,2,0,3,2,3,11.522875795823397,1,1,1
120,3,3.784189633918261,8.770594329891145,1,2,1,1,1,0,0,21,2,1,4,3,8,5,1,1,0,0,10,10,4,178.0,2,3,4,3,4,2,6,24,5,0,1346,1370,2,4,1,3,7.222566018822171,0,0,7.222566018822171,0,0,2,0,2,1,2,6,4,1,4,4,1.0,2,2,484,2,3,2,120,49,0,0,0,0,0,4,2,0,10,2,3,12.218495165528731,1,1,1
70,1,3.912023005428146,9.239899174217728,1,2,1,0,1,0,0,4,4,0,3,5,7,6,89,60,0,0,5,2,1,0.0,1,3,1,2,3,1,5,0,5,0,576,576,2,3,1,3,6.804614520062624,808,0,7.444248649496705,0,0,2,0,3,1,1,9,4,0,1,2,20.0,1,2,480,2,3,2,12,11,64,0,0,0,0,3,2,0,4,2,3,11.84939770159144,1,1,1
